,username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude,result,cluster_result,province
0,@AbdulIkromMukti, 2018-01-01, 17:22,@AbdulIkromMukti<br>@AbdulIkromMukti<br>@AbdulIkromMukti<br>@AbdulIkromMukti<br>@AbdulIkromMukti<br>@AbdulIkromMukti<br>@AbdulIkromMukti<br>@AbdulIkromMukti<br> Ntah ini gaya apa. Nahan bersin Nahan mules Muka kane Muka xilau @ Gua Sunyaragi https://www.i,9.48E+17, 2eb44917f4d6dddc, Cirebon Barat, Cirebon Barat Indonesia,108.5391516,-6.7191105,gaya tahan bersin tahan mulas muka kane muka xilau gua nyarang,3,Jabar
1,@nengnurlaela21, 2018-01-01, 18:36,@nengnurlaela21<br>@nengnurlaela21<br>@nengnurlaela21<br>@nengnurlaela21<br>@nengnurlaela21<br>@nengnurlaela21<br>@nengnurlaela21<br>@nengnurlaela21<br> get well soon Kak Dori   masih di Sukabumi kak? aku tadi niatnya pengen samperin Kaka pengen ketemu ta,9.48E+17, 8b2c9342507e86d3, Baros, Baros Indonesia,106.9287058,-6.946683,get well soon kak dor bogor kak niat samper kakak ketemu dadak sakit perut bolak air lemes,2,Jabar
2,@_sulistiyowati_, 2018-01-01, 19:57,@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br> Awalnya pening doang berhari-hari. Terus demam. Diare. Lemes. Terkapar.  -_____-<br> 19:57 -  ,9.48E+17, dc83e4ea9c950d75, Labuhan Maringgai, Labuhan Maringgai Indonesia,105.8118064,-5.342388,pening doang demam diare lemes kapar,4,Lampung
3,@rundraj, 2018-01-01, 13:39,@rundraj<br>@rundraj<br>@rundraj<br>@rundraj<br>@rundraj<br>@rundraj<br>@rundraj<br>@rundraj<br> Sing seneng akeh  sing mules merga mburi ngomah kelepan yo ono. @ Keloran  Kasihan  Bantul https://www.instagram.com/p/BdZXaL6FyCY/ <br> 13:39 -  2018-01-01 d,9.48E+17, c4397d8c10325af5, Kasihan, Kasihan Indonesia,110.3336193,-7.814739,sing neng kah sing mulas papa bur terucukan yo gado kelor kasihan pantul,3,DIY
4,@fitryfee3, 2018-01-01, 11:55,@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br>@fitryfee3<br> Maag kumat sejak kemarin  hasilnya diare. Mules. Plus my period is coming!   Susah bedain mulesnya <br> 11:55 -  2018-01-01 dari  Lemahabang I,9.48E+17, 420f122b6bea262c, Lemahabang, Lemahabang Indonesia,107.184287,-6.2976855,gastritis kumat kemarin hasil diare mulas plus jap start is coming susah beda lemes,3,Jabar
5,@fennyst_, 2018-01-01, 17:10,@fennyst_<br>@fennyst_<br>@fennyst_<br>@fennyst_<br>@fennyst_<br>@fennyst_<br>@fennyst_<br>@fennyst_<br> Guamah jauh dr kata hedon. Minum kopi setengah gelas aja perut lgsg mules<br> 17:10 -  2018-01-01 dari  Kertosono Indonesia<br> 17:10 -  2018-01-01 da,9.48E+17, e2cf09a47038ba13, Kertosono, Kertosono Indonesia,112.0884525,-7.603001,guam sport hedonis minum kopi gelas perut mulas,3,Jatim
6,@PuteriMulyadi, 2018-01-01, 21:55,@PuteriMulyadi<br>@PuteriMulyadi<br>@PuteriMulyadi<br>@PuteriMulyadi<br>@PuteriMulyadi<br>@PuteriMulyadi<br>@PuteriMulyadi<br>@PuteriMulyadi<br> 2hari ini mencoba menormalkan porsi makan.. ternyata perut masih BELOM SANGGUP ditandai dgn sakit perut (lagi.,9.48E+17, 0e960886390aa80d, Kramat Jati, Kramat Jati Indonesia,106.8705935,-6.275768,usaha normal porsi makan perut bom sanggup tanda sakit perut recovery,2,JKT
7,@_sulistiyowati_, 2018-01-01, 21:55,@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br>@_sulistiyowati_<br> Iyaa Tri  demam sama diare <br> 21:55 -  2018-01-01 dari  Labuhan Maringgai Indonesia<br> 21:5,9.48E+17, dc83e4ea9c950d75, Labuhan Maringgai, Labuhan Maringgai Indonesia,105.8118064,-5.342388,daku tri demam diare,4,Lampung
8,@rhmdhina, 2018-01-01, 22:21,@rhmdhina<br>@rhmdhina<br>@rhmdhina<br>@rhmdhina<br>@rhmdhina<br>@rhmdhina<br>@rhmdhina<br>@rhmdhina<br> Oralit kak...  <br> 22:21 -  2018-01-01 dari  Ngemplak Indonesia<br> 22:21 -  2018-01-01 dari  Ngemplak Indonesia<br> 22:21 -  2018-01-01 dari  Ngempl,9.48E+17, aee1f647eb659021, Ngemplak, Ngemplak Indonesia,110.4751175,-7.711567,oralit kak,3,DIY
9,@annisamaghfira, 2018-01-02, 13:40,@annisamaghfira<br>@annisamaghfira<br>@annisamaghfira<br>@annisamaghfira<br>@annisamaghfira<br>@annisamaghfira<br>@annisamaghfira<br>@annisamaghfira<br> akujugak. tapi langsung mules<br> 13:40 -  2018-01-02 dari  Depok Indonesia<br> 13:40 -  2018-01-02 da,9.48E+17, 408ad88ee0345f7d, Depok, Depok Indonesia,110.4082427,-7.76769565,akujugak langsung mulas,3,DIY
10,@azizramlieadam, 2018-01-02, 12:56,@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br>@azizramlieadam<br> Entah kenapa sekarang  tiap kepentok nulis  serasa kehabisan ide  malah jadi mules. Semacam toilet dap,9.48E+17, 25f5e9dbc1b635ac, Gambir, Gambir Indonesia,106.8260558,-6.168961,bentok tulis serasa habis ide mulas toilet lancar kerja otak,3,JKT
11,@ambar_raissa, 2018-01-02, 10:29,@ambar_raissa<br>@ambar_raissa<br>@ambar_raissa<br>@ambar_raissa<br>@ambar_raissa<br>@ambar_raissa<br>@ambar_raissa<br>@ambar_raissa<br> Sakit perut yang berkelanjutan hadeuhh <br> 10:29 -  2018-01-02 dari  Subang Indonesia<br> 10:29 -  2018-01-02 dari  S,9.48E+17, d298c6b067d4d37c, Subang, Subang Indonesia,107.7594282,-6.5616575,sakit perut sambung hadeuhh,2,Jabar
12,@siraul_ebat, 2018-01-02, 18:38,"@siraul_ebat<br>@siraul_ebat<br>@siraul_ebat<br>@siraul_ebat<br>@siraul_ebat<br>@siraul_ebat<br>@siraul_ebat<br>@siraul_ebat<br> Yeee  saya rerata begitu  Mbak! Haha... °@nieke_aereta: Ada gak yg pas bangun tidur ngopi trus langsung mules?""<br> 18:38 -  ",9.48E+17, 61df56838b27d814, Teluk Bintan, Teluk Bintan Indonesia,104.4944385,0.917171,yeee rerata mbak haha reta bangun tidur kopi langsung mulas,3,Kepri
