username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@H4Y4TI_4N4, 2018-08-08, 06:59, Org ceramah ko kaya mabok kencing onta di campur bratawalisampai kaya lg mules pingin berak yo ceramah itu sing slow adem to mbib,1026981304754167809, , , , , 
@tomhddlstn, 2018-08-08, 06:58, Syukur lah wkwkwk  kalo sakit perut lagi sedia koin,1026981031503572993, , , , , 
@ninifiy, 2018-08-08, 06:54, Time nak keluar time tula sakit perut,1026980001000742912, , , , , 
@izoneunbie, 2018-08-08, 06:53, Ak mules.,1026979613497384960, , , , , 
@Hafizahxx, 2018-08-08, 06:52, Pepagi lagi dah sakit perut aisyh,1026979418588164097, , , , , 
@OfRemorse, 2018-08-08, 06:50, ( ɪɪ. )   ㅤㅤ❝ Sudah kubilang doakan saja dia diare. ❞  Lagi-lagi tidak bisa berkata jujur  kebiasaan. Well  mungkin kau sendiri sudah tahu. Sang animatronik pun berdiri dari posisi duduknya dan melangkah menjauhi. Di tengah ia menuruni  kepala tertengok ke belakang,1026978926743019520, , , , , 
@kwonfluffy, 2018-08-08, 06:49, SAKIT PERUT SJSHSHSJK:((,1026978765040013312, , , , , 
@mayanghatika, 2018-08-08, 06:49, kata dokter diare sama kecapekan kakk,1026978707297034240, , , , , 
@ucuxxx_, 2018-08-08, 06:49, Pagi je nak berak pagi je sakit perut. Penat lah mcm ni tiap2 hari. Hmm penat cangkung je .. bilaaa laa bleh balik upsii,1026978672626921472, , , , , 
@tembackau, 2018-08-08, 06:49," ""hahaha saya jadi mules kita ngomongin boker nu  tpi males ke kamar mandi  airnya dingin banget dah kek es""",1026978550593642497, , , , , 
@akulaperterus, 2018-08-08, 06:48, MULES WOI SUMPAH TAPI MAGER JALAN KE KAMAR MANDI SEKOLAH:(,1026978487305875456, , , , , 
@sintaSnap, 2018-08-08, 06:48, Terimakasih indomie dan tahu gejrot  kau buatku mules pagi ini. Namun hasilnya pagi ini aku merasa jadi manusia langsing di duniaku sendiri.,1026978473523310592, , , , , 
@hxniflvtfi, 2018-08-08, 06:48, aku ni memang tak boleh bfast mesti sakit perut. nasib badan ,1026978472340508672, , , , , 
@azrxlramlan, 2018-08-08, 06:48, Cam biasa pagi² sakit perut,1026978322494812160, , , , , 
@realsjou, 2018-08-08, 06:45, Menandakan sakit perut ,1026977660734332929, , , , , 
@pexrfume, 2018-08-08, 06:44, Bikin diare kalo gua,1026977511379415041, , , , , 
@therabbitum, 2018-08-08, 06:40, gue mules blm nabung pagi eh disuruh cepet2 pergi skola halah :(,1026976361817100288, , , , , 
@kynatajuddin, 2018-08-08, 06:38, aduuu pepagi nk sakit perut ,1026975793711173632, , , , , 
@fransisca_lenny, 2018-08-08, 06:35, Sudah tau sakit perut masih aja dipaksa. Hari ini cuma 1 kan gak masalah cuma kalau buat berdiri apalagi jalan sakit banget. Bahkan kalau kena dingin aja sakitnya luar biasa. Kalau memang mereka punya perasaan harusnya ngerti bukannya maksa. Tapi nyatanya gak punya perasaan,1026975105555918848, , , , , 
@qyotte, 2018-08-08, 06:33, sakit perut tapi gabisa pup itu..........,1026974574112460800, , , , , 
@ayamkaepsi, 2018-08-08, 06:29, GUA MULES TAPI MATI AER ANJIRR ,1026973719325859841, , , , , 
@lilyanthiecfa, 2018-08-08, 06:27, Sakit perut tembus2  susahnya kalau pms,1026973153547960320, , , , , 
@Isviandita, 2018-08-08, 06:27, Makan pepaya  minum green tea atau teh jati cina dijamin mules wkwk,1026973070014074880, , , , , 
@TeranitaVS, 2018-08-08, 06:25, Duh abis makan keong aku bulak balik ke WC karena sakit perut — Krikrikrik ,1026972594250166272, , , , , 
@stupefiy, 2018-08-08, 06:25, kebiasaan kalo mau sekolah mules:)))),1026972542848757760, , , , , 
