username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@AinaZuhan, 2018-04-08, 06:57, Pagi2 dh muntah + sakit perut. Dugaan ,982769488083890176, , , , , 
@leonidlvd, 2018-04-08, 06:57, Beh cakep bener prim  tp plg2 mules perut gue haha,982769322945798144, , , , , 
@obatpeninggi01, 2018-04-08, 06:54, Terlalu Banyak Makan pedas mengakibatkan penyakit Gastritis atau maag akut Gejala gastritis yaitu seperti muntah mual-mual diare,982768698380333057, , , , , 
@sudahmuark, 2018-04-08, 06:54, Busett wkwk masih pagii begini ntar sakit perut lah hyung hahaha,982768627706281984, , , , , 
@YOEL_IsraEL_S_R, 2018-04-08, 06:51,  Oh my GOD  seharusnya hari ini Aku bekerja  tapi jadi sakit perut dan ijin  what happen. Apa maksud TUHAN? Aku percaya pasti cepat sembuh. TUHAN YESUS baik!   #Overloaded #Error_system,982767946760994817, , , , , 
@Cepat_Peninggi, 2018-04-08, 06:50, Pisang direkomendasikan untuk pasien sakit perut dan cholik karena bermafaat untuk menetralkan keasaman lambung.,982767504391983104, , , , , 
@alickgators, 2018-04-08, 06:50, sakit perut ca,982767487665098752, , , , , 
@her_mana96, 2018-04-08, 06:44, Apa anda merasakan sesuatu saat ini? — Iya bro.  Mules.  HAHAHAH http://lap87.ask.fm/igoto/45DKECN75V62DDAUPY6IQO6L7KNTBLAUQPY63BVUA6S2J7FI2AT5AJKQFZH44RJRKKY76EQCIFVDKFAU34N7A55YPPSKNTBAUYVANCK4CBTQSKPHASRDWP663T3MD7LET2S3QBA7ZXGXPBVZADDA==== …,982766213456650240, , , , , 
@norliezzati, 2018-04-08, 06:41, Hahahaha aku tak ngantuk dah tapi aku sakit perut. Aku tak nampak bayang madihah,982765427238449152, , , , , 
@gitonghh, 2018-04-08, 06:40, Mules gw #PremiosMTVMiaw #MTVBRKPOPEXO  @weareoneEXO  #6YearsWithEXO,982765005362704385, , , , , 
@KembarMustofik, 2018-04-08, 06:39, Seperti sakit perut yg amat sangat  dan harus di luncurkan...  Hening..  .sunyi..  Hanya suara alam yg terdengar.....  Tanpa berisik...  Fokus...  Nikmati hidup....  Jngn sampai kerja menggangu hoby mu kawan....... https://www.facebook.com/taufik.tama.3/posts/1843205325723657 …,982764722616393728, , , , , 
@xxxyeina, 2018-04-08, 06:37, kok mules pfftt,982764277927854080, , , , , 
@JKTN12, 2018-04-08, 06:35, Gue deg²an gara² mules tapi toilet antri ini... Hehehehe.. Pokoknya bismillah buat hari ini. ,982763800137879552, d74066a958870db1, Kebayoran Lama, Kebayoran Lama Indonesia, 106.78563265281247, -6.249852000000001
@bubblergum, 2018-04-08, 06:34, sakit perut. ,982763453604544512, , , , , 
@kdanielsnoona, 2018-04-08, 06:32, haegeum ceunah dr sananya mah  mules liat yg itu wkwkwk trus ada yg pas jihoon sm sangmin cepet2an nangis yg diputerin laguny yg suka dia pakr pas suara haegeum y pd ngakak bkn mewek ,982763005694771201, , , , , 
@AbibiAli_S, 2018-04-08, 06:31, .................. di saat yang tidak tepat. Biasanya titik-titik di di awal tsb di isi dengan sebuah kemalangan misal : sakit perut  pulsa habis  pusing  emang ada kemalangan yg hadir di saat yang tepat?,982762857363197952, , , , , 
@nrnazra, 2018-04-08, 06:28, pagi pagi dah sakit perut,982762050182004736, , , , , 
@akucumaTANYA, 2018-04-08, 06:25, kebiasaan pagi kamu? A.mager B.mules C.ngantuk,982761370830581760, , , , , 
@radiityadika_, 2018-04-08, 06:25," Seminggu kemarin adik kena campak  terus tiap hari gue ledekin ""pergi kamu pembawa penyakit!"". Sekarang gue kena diare.. :(",982761225061728256, , , , , 
@IMNAYEST, 2018-04-08, 06:23, pagi pagi udah mules mak,982760839311577088, , , , , 
@sillyizy, 2018-04-08, 06:20, masani lak sakit perut,982760046588084225, , , , , 
@sunflxwrs, 2018-04-08, 06:19, … aduhh mules kak,982759769344626688, , , , , 
@Ristywidyatr, 2018-04-08, 06:18, makanya kalau sakit perut jangan ditahan..,982759494999396352, , , , , 
@_mirulmintek, 2018-04-08, 06:18, Dah barai berhenti berak sbb sakit perut. Hahaha,982759426544189440, , , , , 
@gatsmaluv, 2018-04-08, 06:16, anjjjjj ngakak sampe mules pagi2 kocak bgt napa bisa kebawa mimpi sih tu gurita? wkwk begitu lagi mimpinya,982759059664203776, , , , , 
@choooyooo, 2018-04-08, 06:14, adek juga sakit perut liat itu capek ketawa kak ,982758632021409793, , , , , 
@battt__, 2018-04-08, 06:09, Hm sakit perut. Nk membuang. Harap2 ilmu yg dibaca tak terbuang sekali. ,982757270948790272, , , , , 
@ichaahclarissa, 2018-04-08, 06:04, Diary apa diare,982756137085763584, , , , , 
@blossomxxn, 2018-04-08, 06:02, sakit perutnya ngga ilang ilang.. mules terus haduh lemes 3( ,982755595009736705, 519d6f96b652629c, Ngamprah, Ngamprah Indonesia, 107.52648651964472, -6.842105999999999
@alickgators, 2018-04-08, 06:01, obat sakit perut selain eeq tuh apa woi,982755355758219264, , , , , 
@agarcepattinggi, 2018-04-08, 06:00, Kurang Air Putih Juga Bisa Menyebabkan Masalah Pencernaan Seperti Konstipasi  Penumpukan Racun Dlm Tubuh  Sakit Perut & Hilang Nafsu Makan,982755079345156096, , , , , 
@saya_dyah, 2018-04-08, 06:00, Mungkin bakteri penyebab diare yang sekarang lebih jago   Atau  Daya tahan tubuh yang sekarang sudah agak loyo ,982755020998234112, , , , , 
@ftnxnbl, 2018-04-08, 05:59, Sakit perut,982754751803572224, , , , , 
@adesia21, 2018-04-08, 05:58, makin kesini gua punya kebiasan mirip si @Ratutuille tiap kedinginan  pasti mules gatau knp jd nular begini:|,982754431371366401, , , , , 
@jualpeninggi01, 2018-04-08, 05:54, Batang buah Nona mengandung Senyawa asetogenin sehingga bisa untuk mengobati diare atau disentri,982753600467230720, , , , , 
@tinggi_mtp, 2018-04-08, 05:54," Tertawa sampai ""sakit perut"" sebanyak 100-200 dlm sehari memiliki dampak yg sama dgn olahraga keras  yaitu mampu membakar hingga 500 kalori.",982753490203062272, , , , , 
@hanyailucy, 2018-04-08, 05:54, Abis itu angin sepoi-sepoi dateng. Makin mules. ,982753450655006720, , , , , 
@fateema5, 2018-04-08, 05:53,  haduuh ... dengerin aja ... siap2 sakit perut... kaos aja bisa bikin panik   HIDUP KAOS #2019gantipresiden https://www.facebook.com/fadhillahmisna/posts/10211145791462632 …,982753305582424064, , , , , 
@faktavalid, 2018-04-08, 05:51, pagi pagi mules,982752688235397120, , , , , 
@hifdzan_idan, 2018-04-08, 05:42, Retweeted ㅤㅤㅤ ㅤㅤㅤ ㅤㅤㅤ ㅤㅤㅤ ㅤㅤㅤ (@MbahUyok):  Selera musik boleh metal Selera motor boleh Chopper Ambisi boleh dua periode  Tapi sama kaos #2019GantiPresiden aja dah mules...  Dilaaan  Dilan... Beli tiket pulang Solo gih..,982750429325881344, , , , , 
@norliezzati, 2018-04-08, 05:40, Sakit perut pun ado ni ha. Adoiiii,982750065524490240, , , , , 
@SS0NG_YH, 2018-04-08, 05:39, Minum bay*gon aja opp biar ga mules  dijamin hilang mulesnya. Serius :),982749631409831937, , , , , 
@f_amalin, 2018-04-08, 05:36, Sakit perut tk boleh bwk bincang ,982749011701448705, , , , , 
@dianaanis_, 2018-04-08, 05:32, Sakit perut sial,982747929512296448, , , , , 
@agarbadantinggi, 2018-04-08, 05:30, Kurang Air Putih Juga Bisa Menyebabkan Masalah Pencernaan Seperti Konstipasi  Penumpukan Racun Dlm Tubuh  Sakit Perut & Hilang Nafsu Makan,982747432852144128, , , , , 
@khrlikhwan, 2018-04-08, 05:29, balik makan asri terus sakit perut,982747148579094528, , , , , 
@SyazwanBoMrzki, 2018-04-08, 05:29, Dah nak keluar  sakit perut.   Ok maybe sempat sampai tempat kerja dulu.  *masuk kunci motor*  Damn tak tahan kena masuk toilet dulu.,982747121026719744, , , , , 
@MaskerJerawat08, 2018-04-08, 05:14, Kandungan astringents buah jambu biji merah dapat melindungi perut dari diare.,982743327454851072, , , , , 
@_Musytaq_, 2018-04-08, 05:13, Wehh hahahah serious sakit perut. Sekarang sakit lagi ni haa. Penat ulang alik toilet ,982743243283513345, , , , , 
@hybbiblee, 2018-04-08, 05:13," Sakit perut di pagi hari:""",982743166796247040, , , , , 
@Farahaisya, 2018-04-08, 05:13, Update; still pooping and freaking sleepy sbb sakit perut je sepanjang malam,982743092351549441, , , , , 
@Tweetnyabanyak, 2018-04-08, 05:08, Ulangan mendadak sering membuat siswa mendadak mules.,982742046963261440, , , , , 
@abcdef__19, 2018-04-08, 05:02, Sakit perut,982740342196719616, , , , , 
@arifffauzannn, 2018-04-08, 04:51, awal sangat untuk sakit perut ni ,982737763085643776, , , , , 
@kuahpopmi, 2018-04-08, 04:49, Pagi2 aing dah mules bgstt,982737073164640257, , , , , 
@bydadarif, 2018-04-08, 04:46, YA ANJAY JAM SEGINI SAKIT PERUT,982736404106002434, , , , , 
@PeninggiAlami02, 2018-04-08, 04:43, Pisang direkomendasikan untuk pasien sakit perut dan cholik karena bermafaat untuk menetralkan keasaman lambung.,982735734401454080, , , , , 
@Dika_Nurrahman, 2018-04-08, 04:27, Satibra-tibrana sare  ku mules hayang modol mah hudang langsung tibabaradug lumpat ka cai,982731687820840960, , , , , 
@DHINDAELOK, 2018-04-08, 04:19, Susah tidur dan jam segini kebangun dan menemukan fakta bahwa dapet. Bleberan sekasur2. Langsung auto kram-mules-migrain. Yaallah kuatkan hambamu ini,982729640786608129, , , , , 
@Tiens_Bandung, 2018-04-08, 04:16, Manfaat Buah Sirsak Untuk Kesehatan Sudah Dipercaya Dapat Mengobati Ambeien Dan Juga Diare Pada Bayi.,982728784129359872, , , , , 
@DokterNews, 2018-04-08, 04:15, Kekeringan melanda sebagian wilayah Indonesia dan biasanya akan diikuti oleh wabah diare akibat kurangnya sumber air bersih. Waspadalah!,982728490746351622, , , , , 
@ProfessorHerbal, 2018-04-08, 04:14, Kurma mengandung kalium yang bermanfaat untuk menyembuhkan diare,982728386228269056, , , , , 
@restumoes, 2018-04-08, 04:08, mules  haus  tindihen. kirain udh tidur lama ternyata cm sejam. mules lagi. tindihen lagi. yaudah gitu terus sampe jam 3 pagi.,982726785027604480, , , , , 
@fthhntsya, 2018-04-08, 04:07, sakit perut pepagi tak kewl do,982726519393992704, , , , , 
@FidYee, 2018-04-08, 03:49, Kalo nginep di rumah om lebih dari semalem kok perut ku selalu protes yah...?   Alias jadi mules & berujung diare.   Efek tidur di depan tv po yah..? Masuk angin kah aku..? ,982722080557776896, , , , , 
@kehazee, 2018-04-08, 03:41, aih time2 bgini la juga dtg tu sakit perut,982720091262353408, , , , , 
@IshamOsman_, 2018-04-08, 03:41, Kenapa pagi-pagi buta ni baru nak sakit perut  malas betul aku nak bangun,982720017878806528, , , , , 
@obatdietbagus, 2018-04-08, 03:37, Kandungan Astringents Buah Jambu Biji Merah Dapat Melindungi Perut Dari Diare.,982718984171606016, , , , , 
@farhan_hisham, 2018-04-08, 03:35, sakit perut bila nak hilang ni aduyai,982718567505313792, , , , , 
@SpirulinaAlami, 2018-04-08, 03:28, Pisang direkomendasikan untuk pasien sakit perut dan cholik karena bermafaat untuk menetralkan keasaman lambung.,982716690403229696, , , , , 
@ngehngehngeh, 2018-04-08, 03:25, Sakit perut  lepastu dada pulak sakit.,982716028890181632, , , , , 
@fadhillann, 2018-04-08, 03:24, Ini sakit perut gara2 spicy chicken kah? :( prasaan gak pedes2 amat tapi kok......,982715772530188288, , , , , 
@danisucipto102, 2018-04-08, 03:18, Jadi  ketika kita sedang tidur pules. Lalu tiba-tiba perut mules karena kembung. Itu rasanya ,982714250912239617, , , , , 
@_Musytaq_, 2018-04-08, 03:15, Sesungguhnya sakit perut pepagi buta sangat tak boleh bawak bincang ,982713442082603008, , , , , 
@ummuzulkifli, 2018-04-08, 03:12, pagi pagi sakit perut. dah sahur. sakit gak.,982712793290821632, , , , , 
@hahahaseef, 2018-04-08, 03:04, Awat sakit perut tetiba ni. Hmm.,982710843694444544, , , , , 
