username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@PantunKakek, 2018-02-08, 06:58, Limau purut ditepi rawa | buah diranting belum masak | sakit perut sebab tertawa | melihat nenek duduk berbedak #JFB,961388638243192832, , , , , 
@arepkasim, 2018-02-08, 06:53, HAAA HAAA HAAA AKU SAKIT PERUT DAN BILA AKU MASUK TANDAS LAGI TERNYATA AKU SAKIT PERUT LAGIIII,961387431319744512, , , , , 
@seohyuf, 2018-02-08, 06:52, deb tau ga? Kalo orang pamer trs gabagi2 itu dosa tau. Bisa2 sakit perut trs nanti :) ,961387165149118464, , , , , 
@ZulGusta, 2018-02-08, 06:49, nak dekat test je sakit perut  waaah piang eh ,961386511156445184, , , , , 
@Goesct_pertama, 2018-02-08, 06:47, Ben dino esuk uis mendung Gawe mules mata,961385857545592832, , , , , 
@ccopter97, 2018-02-08, 06:47, Khob khun khab mae~  tp cop sakit perut/? Buat makan siang aja ya sarapannya/?,961385855561621504, , , , , 
@tridianto_, 2018-02-08, 06:46, Nyong pendukung deklarasi anti hoax. Tp kok ada surat hoax yg sengaja digoreng? Hoax pancen ngeri. Ngeri2 mules. ,961385732676886528, , , , , 
@khaiartzfar, 2018-02-08, 06:45, time nak tunggu train ni la sakit perut bagai ,961385442342977536, , , , , 
@ijerahisme, 2018-02-08, 06:45, Sakit perut ,961385371991855105, , , , , 
@tridianto_, 2018-02-08, 06:40, Jihad itu mulia. Hoax itu mules. Sakit.,961384139315294210, , , , , 
@_Teh_Pelangsing, 2018-02-08, 06:31, Tahukah Anda #Antibiotik tidak dapat sembuhkan penyakit karena infeksi virus seperti selesma  flu  diare akut cair.,961381831286247424, , , , , 
@ahgasays, 2018-02-08, 06:29, gue ini nungguin sakit perut baru berangkat,961381375738658816, , , , , 
@NajwaIlhami, 2018-02-08, 06:27, Yeee qis  men badminton sampai sakit perut sebab gelak. Patu lepas men pi bantai makan kat cafe hahahaha ,961380833553629184, , , , , 
@hayipirate, 2018-02-08, 06:25, Sakit perut perut sakit,961380529001062400, , , , , 
@wanaftn, 2018-02-08, 06:17, dah mcm rutin setiap pagi wajib sakit perut ,961378315385753600, 6b9ed4869788d40e, Damansara, Damansara Selangor, 101.53889364795695, 3.0512202999999998
@wr200465, 2018-02-08, 06:16," Bib...gabener itu bukan ahli tata kota dan bukan pula ahli tata kata...setiap kata yg kelaur dari mulutnya bikin mules  katanya kuliah sampe S3..tapi ga bisa membedakan antara ""normalisasi n naturalisasi""..",961378099974717440, , , , , 
@ndedeey, 2018-02-08, 06:13, Sakit perut em,961377366671962113, , , , , 
@nadeanads, 2018-02-08, 06:12, Nunggu laman krs lagi tuh sampek mules   badmood paraaaah,961377194575503360, , , , , 
@evatiarachma, 2018-02-08, 06:08, Perut mules ga ketulungan di pagi hari ,961376225607364608, , , , , 
@ratpurba, 2018-02-08, 06:01, #7thn ....  lgs mules perutku,961374298014343168, , , , , 
@ttetraa_, 2018-02-08, 05:57, mules dah perut gue #iHeartAwards #BestFanArmy #BTSARMY @BTS_twt,961373269495398400, , , , , 
