username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@Nurzulaika0207, 2018-01-08, 06:59, Sakit perut berak la  dh berak jgn salah bagik pencuci @nilamazizi_ ,950154927283716096, , , , , 
@mashiii_, 2018-01-08, 06:58, Pagi pagi sakit perut  nice ,950154789718966272, , , , , 
@obatpeninggi01, 2018-01-08, 06:54, Batang buah Nona mengandung Senyawa asetogenin sehingga bisa untuk mengobati diare atau disentri,950153792447594496, , , , , 
@muzzxmir99, 2018-01-08, 06:53, Aish sakit perut pulak dahhhhhh,950153537597726720, , , , , 
@YudaiChiba89, 2018-01-08, 06:53, Kabarku kurang baik.bentar2 perut mules :(,950153417476915200, , , , , 
@nryugo, 2018-01-08, 06:53, Mules adalah suatu kemorning vibean,950153394907328512, , , , , 
@JoiceWildan, 2018-01-08, 06:51, Sakit perut uii,950153046847193088, , , , , 
@AzwanSos, 2018-01-08, 06:48, Coke + roti sumpah xngam! Sakit perut pak hang,950152192249311232, , , , , 
@Tiens_Bandung, 2018-01-08, 06:46, Meminum Kopi Ketika Hamil Juga Dapat Membantu Anda Untuk Menghentikan Diare. #IbuHamil #Hamil #Kopi #Wanita,950151640891273216, , , , , 
@hasyanui, 2018-01-08, 06:37," Balada drama pagi abis nonton drama thailand semalam: Padahal tidurnya jam 11. Pas bangun subuh  males masih ngantuk. Abis mandi  ngopi niatnya biar ga ngantuk. Satu fakta yg terlupakan  abis ngopi sering berakhir mules. Dan jam segini masih belum selesai siap"".",950149546478194688, , , , , 
@iripann, 2018-01-08, 06:34, Time ni lah nak sakit perut lah apa lah. Tunggu dulu boleh tak?,950148733685055488, , , , , 
@nisaannisa874u, 2018-01-08, 06:32, Aku diare .... Tapi bleeding ....,950148275566469121, , , , , 
@khnisw, 2018-01-08, 06:29, Hadu gue ga bisa berhenti mules,950147502140932097, , , , , 
@nur_azahrah, 2018-01-08, 06:27, Suka kebiasaan udah rapih malah mules-_-,950147002544807936, , , , , 
@obatpeninggi08, 2018-01-08, 06:27, Kandungan astringents buah jambu biji merah dapat melindungi perut dari diare.,950146863851741184, , , , , 
@Indriiyyaa, 2018-01-08, 06:22, Mules dipagi hari,950145652146581504, , , , , 
@paknov, 2018-01-08, 06:18, Cak @ferrykoto operasi bikin deg2an selesai  tunggu lagi operasi yg bikin mules mimin @_TNIAU disusul operasi kejang2. Grup lawan sudah ditarik.,950144654384676864, , , , , 
@amirahhanisah_, 2018-01-08, 06:18, Makan lagi seafood macam kupang   lala yang berasid if tak basuh bersih tu . Sekarang da sakit perut whole night   da collapses   da migrain   perut sebu . 10 - 15 kali ulang alik toilet . Padan muka ! Padan muka kau amira ,950144536268845056, , , , , 
