username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@FarenaNatasha94, 2018-07-08, 06:59, Sakit perut kenapa kerap cramp tah,1015747198082928640, , , , , 
@nazkarim19, 2018-07-08, 06:58, Boleh pula sakit perut pepagi ni   dah lah ada kelas memandu . Haish spoil mood lah pepagi macam ni .,1015746884911001600, , , , , 
@sikijeuday, 2018-07-08, 06:57, SAKIT PERUT YAAMPON,1015746708704190464, , , , , 
@_NadiaNatasha, 2018-07-08, 06:57, Dannnnn saya sakit perut mengada pagi ni sebab nervous sangat,1015746597496352769, , , , , 
@Dava_rizqi, 2018-07-08, 06:56, Setiap lari pagi pasti mules :),1015746501727752192, , , , , 
@mianhaengs, 2018-07-08, 06:56, Humor bgt sakit perut gw  Ngapain juga gue ngirim foto emak bapak gw beneran bdh mikirnya 2 jam pula. NGAPAIN EMAK BAPAK GW VLIVE COBA ,1015746315987312640, , , , , 
@svnnyy, 2018-07-08, 06:52, pegyy aku mules wkwkwkwk,1015745414840979457, , , , , 
@khoneunbi, 2018-07-08, 06:40, Engga lah masa sakit perut haha,1015742478291333120, , , , , 
@Izzati_amri, 2018-07-08, 06:40, Ya allah  aq mimpi dia dorh dh la aq jenis susah mimpi wei! sblum tido pun aq x pkir apa2 pun  yg aq fikir pun sakit perut jer,1015742469202276352, , , , , 
@aldhaaf_, 2018-07-08, 06:38, Kebiasaan pasti mules:3,1015741818246295552, , , , , 
@syahmialwayss, 2018-07-08, 06:36, Tk tidoq bukan buat apa.. Duk borak.. Lawan game.. Ketawa tak ingat dunia.. Aku kalah  dia bahan aku.. Dia kalah  aku bahan dia.. Memang sakit perut ja la malam tu,1015741386417569792, f7677939bcd34a9a, Rawang, Rawang Selangor, 101.55122484117314, 3.3096534
@ffikan, 2018-07-08, 06:36, Setelah lama ngga makan di asrama sarapannya jadi agak siangan dikit. Giliran skrg makan sepagi ini langsung mules.,1015741331778371584, , , , , 
@brndkmra, 2018-07-08, 06:34, Tlg jgn sakit perut hari niii..,1015740957134712832, , , , , 
@kwonhoush, 2018-07-08, 06:33, Klo ga mules kayanya ga bangun gua,1015740694596472833, , , , , 
@aishyazamri, 2018-07-08, 06:30, Buat haaaaal sakit perut pulak daaaahhhh,1015739976288309249, , , , , 
@zhrhamin, 2018-07-08, 06:29, Sigek jak ditakut effect minum coffee tok. Sakit perut. Harap sik lah ritok jgn macam2 huhu,1015739518350061568, , , , , 
@akucumaTANYA, 2018-07-08, 06:25, kebiasaan pagi kamu? A.mager B.mules C.ngantuk,1015738666465951744, , , , , 
@EykaYazids, 2018-07-08, 06:25, Pagi pagi dah sakit perut kenapa!!!,1015738516184051712, 725563af93a244b7, Panchor, Panchor Kelantan, 102.30361096794908, 6.140182
@icyteeze, 2018-07-08, 06:21, Tiap pagi mules mulu dongg krn sedingin iniiii huehee,1015737646428155904, , , , , 
@fiqohliani, 2018-07-08, 06:20, Kebiasaan deh tiap pagi perut mules. Pdhl blm makan apa2 :(,1015737415175008256, , , , , 
@tasianst, 2018-07-08, 06:13, Gue kalau nervous pasti mules. Sebel.,1015735536437190656, , , , , 
@mzekreyeman, 2018-07-08, 06:12, Aku punya sakit perut ni tak boleh bawak bincang lah.,1015735318492745728, , , , , 
@MicyChannel, 2018-07-08, 06:10, Stop Diare Dengan Minum Air Rebusan Beras: http://youtu.be/sbZ3RgUf73g?a  via @YouTube,1015734726794063872, , , , , 
@fadlinrizkin, 2018-07-08, 06:09, Ngantuk tak hilang  sakit perut yg dapat,1015734601602363392, , , , , 
@redvlevetyeri, 2018-07-08, 06:07, Daddy  aku kan gak bisa masak! Kalo Daddy mau sakit perut terus masuk rumah sakit oke deh aku masak!   ,1015734142204432385, , , , , 
@Singa_Betawi26, 2018-07-08, 06:05, Hrs ditonton nih sakit perut @ProfAmienRais ! ,1015733490577358848, , , , , 
@nellesharlowin, 2018-07-08, 06:03, Makan bang  pagi pagi jangan buat mules,1015733191921975296, , , , , 
@candkanthi, 2018-07-08, 06:01, Mules. Tapi masuk kamar mandi malah ga bisa menunaikan tugas mulia.  Veses aja bisa PHPin gue apalagi manusia,1015732628366848000, , , , , 
@ahmad_fa001, 2018-07-08, 05:59, Eden nak tiak awak   eden nak melantak kalau x sakit perut dibuatnya bye,1015731970930667520, , , , , 
@skydvae, 2018-07-08, 05:55, nanti aku beliin lagi tp jangan sekarang nanti sakit perut ,1015731149249789952, , , , , 
@Zahiah_Nasbee, 2018-07-08, 05:50, Mati  sakit perut ku ehh,1015729708313468928, 0a56f12a4dd50b43, Dalat, Dalat Sarawak, 111.97394138910144, 2.6939235999999998
@pophopeffect, 2018-07-08, 05:49, Baguuus. Ngakak ampe mules beneran dah,1015729513135656960, , , , , 
@dutamcd, 2018-07-08, 05:47, Jadi gue semalem mimpiin mantan gue  dan mimpinya emang sweet parah sih. Tapi pas gue bangun gue langsung mules dan mencret2 dong anjir. Mgkn alam bawah sadar gue mengingatkan bahwa he’s just sweet in my dream  but asshole in real life ,1015729070082932736, , , , , 
@episrofiei, 2018-07-08, 05:47, Dari sebelum subuh sakit perut ni  huhu...,1015729056707301376, , , , , 
@T0D4K_, 2018-07-08, 05:45, Punya seksa kalau sakit perut ni.,1015728483455008769, , , , , 
@panotomo, 2018-07-08, 05:43, Om   uda brapa kali mules liat poto ini?,1015727969422020608, , , , , 
@intanauko37_, 2018-07-08, 05:40, MULES!?!  Eh eh ini bg ku baru tau eh  Lhaa kok i dah bg nya  Tapi tetep aja muwles ,1015727318038347777, , , , , 
@tehgurah1, 2018-07-08, 05:38, Obat Gurah buat Obat Herbal Diare https://tehgurahplusjogja.wordpress.com/2018/07/08/obat-gurah-buat-obat-herbal-diare/ …,1015726657867534336, , , , , 
@akucantiksekale, 2018-07-08, 05:33, ASTAGA AKU SAKIT PERUT  [[,1015725601112539136, , , , , 
@tehgurah1, 2018-07-08, 05:30, Obat Gurah buat Obat Herbal Diare https://tehgurahplus.wordpress.com/2018/07/08/obat-gurah-buat-obat-herbal-diare/ …,1015724800214519811, , , , , 
@Nakyucng, 2018-07-08, 05:25, Sakit perut pas buka twt ngeliat mentab ada jissue,1015723410389811200, , , , , 
@ichaaapd, 2018-07-08, 05:21, akibat nonton running man di jam² mau tengah malem  ngga nyampe selesai gara² ketiduran sakit perut  nahan ngga ngakak takut ibu bangun,1015722561215258624, , , , , 
@trisyawahyuni, 2018-07-08, 05:11, Dan sekarang ku sakit perut gak bisa bobok gegara masuk angin - -,1015719997149073408, 81b472d798d13dd9, Malang, Malang Jawa Timur, 112.68961447939498, -8.1058755
@toplessnastar, 2018-07-08, 05:10, Aduh mules wkwkwk   Knp kudu sekarang dah bzzzz -___-,1015719802151682050, , , , , 
@raziqirfan2, 2018-07-08, 05:08, Pening palak badan panas sakit perut muntah muntah. 2 days sakit terlantar jak atas tilam,1015719296041771008, , , , , 
@LrssaGnwn, 2018-07-08, 04:40, tapi galama abis mimpi  perut langsung mules.,1015712080467382272, , , , , 
@Gataunihapa, 2018-07-08, 04:35, Kebangun garagara mules 2x nih,1015710831701454848, , , , , 
@kwonfluffy, 2018-07-08, 04:24, APASI YAALLAH AKU SAKIT PERUT ,1015708057827880960, , , , , 
@JeaNajiha, 2018-07-08, 04:16, Sumpah sakit perut ah shit aku makan apa je semalam ,1015706133028208640, , , , , 
@wennys06, 2018-07-08, 04:13, read: sakit perut terparah yg dialami saat ngerantau (ah  ibuk :(( ),1015705510165663746, , , , , 
@yeinnyen, 2018-07-08, 04:11, sakit perut ,1015704891015114752, , , , , 
@Gharn_R, 2018-07-08, 03:51, Itu tadi adalah contoh twit orang yang kebangun stengah 4 pagi n mules melilit nongkrong di wc sejam-an ampe frustrasi berat karena tetep mules,1015699759426760704, , , , , 
@_sendiryan, 2018-07-08, 03:45, Udah ngantuk  baru meremin mata  tetiba mules.   Abis gt berak terus kaga bisa tidur.  Kan anyink,1015698431128494081, , , , , 
@ssetiawan, 2018-07-08, 03:45, Wqwq mules nontonnya. ,1015698422689484800, , , , , 
@OfficalAlyph, 2018-07-08, 03:43, sakit perut x bolh tido.. haduhh besok dh la ot,1015697755312816129, , , , , 
@DanialFittri7, 2018-07-08, 03:40, sakit perut,1015696996521279488, , , , , 
@O_Kwadrat, 2018-07-08, 03:33, Njiiinnnnggggg  mules nontonnya! #WorldCup2018,1015695357336932352, , , , , 
@edhohabinsaran, 2018-07-08, 03:20, Mules liat rusia vs kroasia.,1015692115894939648, , , , , 
@tattaaaa, 2018-07-08, 03:17, Reply-nya bikin sakit perut ,1015691354754568192, , , , , 
@AhmadMuzaamir, 2018-07-08, 03:10, Jeng guu mase ni sakit perut ,1015689540789387264, , , , , 
@intannnbaizura, 2018-07-08, 03:04, Dah gatal kepala  sakit perut nak berak pulak tuhh!,1015687957393518592, c4c6fdc9a58cc0a9, Batu Berendam, Batu Berendam Melaka, 102.25409231115698, 2.25299025
