username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@Ryuddaengg, 2018-03-08, 06:59, Mules nya ituloh bikin lemes :(,971535907240095745, , , , , 
@sihatihati, 2018-03-08, 06:59, Asal smua tak smpai lagiiii !!! Ak sakit perut nii oii ,971535853158715392, , , , , 
@_rhnrsln, 2018-03-08, 06:58, sakit perut dah siksa gini   macam mana lah perempuan kalau sengugut tu kan..,971535653610569728, , , , , 
@snowyelsaa, 2018-03-08, 06:57, Paling greget kalau masuk pagi tapi perut mules gabisa diajak kompromi,971535259543072768, , , , , 
@sehayana, 2018-03-08, 06:54, Dia buat sakit perut pulok time xdok air,971534710470922240, , , , , 
@awalyp, 2018-03-08, 06:54, Pagi2 sakit perut,971534610650681344, 2d89118eb6e2ae58, Chenor, Chenor Pahang, 102.60347611910109, 3.6590802499999997
@Errot_THEBORAKZ, 2018-03-08, 06:54," Gw mules :""(",971534527108595712, , , , , 
@hcakbar, 2018-03-08, 06:54, Mules pagi2 mengganggu jam tidur,971534465913700353, , , , , 
@antiprili, 2018-03-08, 06:53, Bandel makan junkfood  kafein  dan es jadinya diare.. arghhh kebangun grgr ini,971534345629413376, , , , , 
@ADOREXERROR, 2018-03-08, 06:53, Gw sakit perut :(,971534306249129985, , , , , 
@_yusupbachtiar_, 2018-03-08, 06:51, Struggle ngegambar abis subuh: bikin kopi malah bikin mules  Struggle ngegambar malem: bikin kopi malah ga bisa tidur   Hamba bingung,971533899082874880, , , , , 
@yuniiey14, 2018-03-08, 06:49, Time ni la nak sakit perut pun tau tak kita tak de masa ni,971533396252942337, , , , , 
@NurulFitriahh, 2018-03-08, 06:49, Sakit perut ,971533264287494144, , , , , 
@sufiatulasni, 2018-03-08, 06:48, Sakit perut lah pulak aduhaii,971533174978183168, , , , , 
@nsyafikaa, 2018-03-08, 06:48, Pepagi dah sakit perut,971533131986579456, , , , , 
@baskorohay, 2018-03-08, 06:48, Yth. Perut yang tak kunjung sembuh  mules dab.,971533080795082753, , , , , 
@dputry_, 2018-03-08, 06:46, pagi pagi sakit perut pagi pagi tudung tak betul semua pagi pagi la cita dia spoil mood aku,971532449430749185, , , , , 
@NnRabiatunnisa, 2018-03-08, 06:45, Selamat pagi  selamat menikmati tetesan air hujan yg di iringi rasa mules pagi pagi ...,971532408972443648, , , , , 
