username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@agarnutrijel, 2018-05-08, 06:59, awas mules kalau minum kopi,993641486116782081, , , , , 
@dustyblush, 2018-05-08, 06:59, Lama banget hahaha mules gue,993641452046503936, , , , , 
@TyhaaDeen, 2018-05-08, 06:56, sakit perut  pastu selseme and haus,993640752302309376, , , , , 
@aprettygrass, 2018-05-08, 06:56, Gue nyesel makan bakso kemarin kepedesan padahal tadi subuh udah minum diapet masih aja mules YAALLAH,993640712901021696, , , , , 
@fckuhee, 2018-05-08, 06:54, Kopi tapi atiati mules heu,993640334679666688, , , , , 
@peachypeachjae, 2018-05-08, 06:54, YaAllah aku deg-degan sampe sakit perut mules padahal masih dijalan,993640181323382785, , , , , 
@asyraaafs, 2018-05-08, 06:53, Jap jap Queen B sakit perut,993640114763935744, , , , , 
@kram_otak13, 2018-05-08, 06:50, Hari pertama ngantor setelah tugas lapangan kok bikin mules,993639286132981760, , , , , 
@abcdehcopot, 2018-05-08, 06:49, Dan mules as usual kalo lagi grogi.,993639075256057857, , , , , 
@mdsyhrzl, 2018-05-08, 06:48, Bangun tidur je terus sakit perut ,993638847450771456, , , , , 
@AynaNur_, 2018-05-08, 06:48, Mujur dah otw balik. Sakit perut siak hahahahahahha gegara mkn byk semalam hahahaha,993638721520988160, , , , , 
@hwangelina, 2018-05-08, 06:45, Sakit perut pagi pagi gabisa b0k3r,993637994006437888, , , , , 
@ihrnne, 2018-05-08, 06:44, sumpah perut gua mules blsin mt lu,993637643597504512, , , , , 
@akucintajunhoe, 2018-05-08, 06:43, Beberapa menit lagi masuk ruangan dan gue sakit perut.   Mantap.,993637423862038528, , , , , 
@skskweh, 2018-05-08, 06:42, MASIH PAGI WOY  MAKIN MULES INI GUE,993637324142428161, , , , , 
@Sidokterideal, 2018-05-08, 06:42, Kurma mengandung kalium yang bermanfaat untuk menyembuhkan diare,993637163341201408, , , , , 
@ariskafajaria, 2018-05-08, 06:41, Ulangan mendadak sering membuat siswa mendadak mules.,993636971728723968, , , , , 
@momo_chan8, 2018-05-08, 06:40, Pagi pagi dah makan pedas  pastu lawan sakit perut hg aku  Nak buat lagumana dah suka makan yg pedas  kalau tak pedas tak sedap,993636845840809984, 0002c868e49e17bb, Kota Setar, Kota Setar Kedah, 100.36823553524735, 6.1127839
@Sarahsarss, 2018-05-08, 06:40, kebiasaan dah sakit perut dulu,993636730619052032, , , , , 
@shfqhrius, 2018-05-08, 06:39, Klu dah tahu perut tak biasa makan pagi pergi makan pagi jugak kenapa . Tgk skg dah sakit perut ,993636369044979712, , , , , 
@Sayehis, 2018-05-08, 06:37, this is not funny  bangun subuh dan sakit perut all the time. aku nk balik Jb japlagi jangan buat hal,993635999837114369, , , , , 
