username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@shrnashrdn1, 2018-11-08, 06:58, Sakit perut ,1060320655629942785, , , , , 
@qerockan, 2018-11-08, 06:57," Definisi galau terbaik adalah saat mules mules ternyata di kamar mandi ada mandi lamanya bukan main:""(",1060320485076914177, , , , , 
@Sanggyun_k, 2018-11-08, 06:57, baru aja sekrol tl dah mules w,1060320433092751361, , , , , 
@alizawati99, 2018-11-08, 06:56, Pepagi sakit perut ,1060320143442501632, , , , , 
@0227cm, 2018-11-08, 06:55, Iya :( sakit perut liat muka hyung :( ,1060319959849431040, , , , , 
@jungckuki, 2018-11-08, 06:54, Sakit perut,1060319585809756160, , , , , 
@lalizbp, 2018-11-08, 06:53, Sakit perut [],1060319430192689152, , , , , 
@diraisnaini, 2018-11-08, 06:52, kebiasaan klo pagi  sakit perut panggilan alam:(,1060319040290217984, , , , , 
@wahgelasee, 2018-11-08, 06:51, Unmood apa mules tuh,1060318958471995392, , , , , 
@yolandaputria, 2018-11-08, 06:51, lg belajar obat antiemetik sm antidiare  malah emesis sm diare beneran  definisi dari belajar terlalu menghayati :),1060318883125452800, , , , , 
@Ridhomuhamadak1, 2018-11-08, 06:51, Kenapa tiap berangkat harus mules dulu:(,1060318775533129728, , , , , 
@belvyalona, 2018-11-08, 06:50, Yaallah sakit perut.,1060318693463285761, , , , , 
@coinxidence, 2018-11-08, 06:48, Perut mules ingin bab plus kram karena period :) perpaduan yang sangat sempurna :),1060318083095584768, , , , , 
@wlndrtri, 2018-11-08, 06:47, Perut mules  pala berat  lutut gemeteran bahh semua kerasa,1060317976233107457, , , , , 
@novarianar, 2018-11-08, 06:47, Aku saranin minum yogurt plain atau air lemon hangat sebelum tidur deh. Aku gak bohong itu bikin pagi pasti mules dan bab.,1060317899703734273, , , , , 
@beerbrenn, 2018-11-08, 06:47, ngeliat anak sekolah pagi-pagi udah ngerokok  kagak mules apa perutnya?,1060317805843636224, , , , , 
@vegasibeng, 2018-11-08, 06:45, satu-satunya hal yg bikin langsung beranjak dari kasur di saat sedang malas-malasnya adalah sakit perut,1060317401193971713, , , , , 
@qerockan, 2018-11-08, 06:44, Tiada hari tanpa mules mules di pagi hari.,1060317079822229504, , , , , 
@Diaaah07, 2018-11-08, 06:43, Pagi pagi mules mulu,1060316906131881985, , , , , 
@MiikoChanFans, 2018-11-08, 06:43," ""Kalau lagi haid  kadang-kadang sakit perut. Jadi agak lega kalau minum yang hangat-hangat."" –Yukko",1060316728708624384, , , , , 
@aidaptrs_, 2018-11-08, 06:41, Perut mules bukan berarti harus males ,1060316264864788480, aa1d86bcd61a4d55, Pasar Kliwon, Pasar Kliwon Indonesia, 110.84572864074508, -7.5629273999999995
@nurazmrn, 2018-11-08, 06:39, Hahahah tak kelakarnya lahai sakit perut time2 jem gini,1060315962254143489, , , , , 
@De_YeWook, 2018-11-08, 06:36, Late post    Yesterday     Wara Wiri sampe malem     Makan malem sampe sakit perut pagi ni     — di Medan Malll https://www.facebook.com/100001443810060/posts/2097292876995486/ …,1060315198555271168, , , , , 
@LAKSMIDR, 2018-11-08, 06:33, Mules yg tida bisa di definisikan,1060314441856704513, , , , , 
@favechan, 2018-11-08, 06:33, Aku kalo diare mah gapapa itung2 diet,1060314257961570305, , , , , 
@aufrellia, 2018-11-08, 06:32, Kebiasaan nih pagi pagi mules,1060313970991681537, , , , , 
@moh_madidris, 2018-11-08, 06:31, sakit perut #01JokowiLagi,1060313699821477889, , , , , 
@Dedyhsaputra, 2018-11-08, 06:30, Sakit perut anjg pagi pagi,1060313459487698944, , , , , 
@edaaiman, 2018-11-08, 06:24, Again. sakit perut time drive. Pastu jem pulak tuu. Lupa bawak plastik. hahahaha,1060312044560310273, , , , , 
@Mayoga_, 2018-11-08, 06:23, Ada kls pagi jam segini malah mules:(,1060311914268385280, , , , , 
@ihamhdyt, 2018-11-08, 06:23, Part menyebalkan dalam hidup  makan banyak ga nyampe setengah jam diberakin gegara mules  kan jdi lapar lgi goblok,1060311851257360384, , , , , 
@KORANBASI, 2018-11-08, 06:21, tidak kuat menahan rasa mules di angkutan umum  wanita hamil ini berhenti di toilet umum.,1060311294375383040, , , , , 
@sajidrabbany, 2018-11-08, 06:20, Ini kenapa perut mules trs dah,1060311048811495424, 1d982263cb72d996, Curug, Curug Indonesia, 106.60084247333722, -6.243781
@roberthartono12, 2018-11-08, 06:17, Mengenal Penyakit Diare Lebih Jauh. Baca disini : ,1060310242750156800, , , , , 
@nrsyxx, 2018-11-08, 06:13, Lately ni aku kerap sakit perut  malam2 pulak tu,1060309174897111040, , , , , 
@Binahelpi, 2018-11-08, 06:07, paling gak enak pagi2 di buswy trus mules,1060307746136842240, , , , , 
@wawxzlan, 2018-11-08, 06:06, Kan mendapat pepagi lg dah sakit perut,1060307537679925248, , , , , 
@Zuniika_, 2018-11-08, 06:06, Mkn maggie curry ngn milo pagi2 memang minta sakit perut sia. ,1060307512883200001, , , , , 
@nartiqueen75, 2018-11-08, 06:05, Tumben ngurusin Arab   biasanya anti Arab mules,1060307245437579264, , , , , 
@ghinart, 2018-11-08, 06:03, gini bgt ternyata sakit perut pas dapet. bener2 gbs ngapa2in krn gerak dikit sakit. nafas aja terkadang sakit ,1060306715260809217, , , , , 
@melanchoIyse, 2018-11-08, 05:59, air belom jalan juga sedih ini perut gue mules ,1060305651404959746, , , , , 
@itsaninzone, 2018-11-08, 05:58, Gak telat kok  siap siap lah anda untuk sakit perut,1060305502964338688, , , , , 
@NiraAndr, 2018-11-08, 05:57, Cuma urang aja atau yang lain juga si setiap sarapan pagi gini malah bikin perut mules pengen bab:(,1060305305148379136, 1c47ecb998af2c16, Cipayung, Cipayung Indonesia, 106.91229190907134, -6.3306495
@Arif_permana12, 2018-11-08, 05:56, Orang mati syahid 5  mati karena: ~penyakit tha’un ~sakit perut ~orang tenggelam ~terkena reruntuhan dan ~syahid di jalan Allah. (Muslim),1060305129482551296, , , , , 
@Syahyad, 2018-11-08, 05:56, Mules perutku bang...,1060304914646151168, , , , , 
@frieleniaaaaa, 2018-11-08, 05:54, ingin ta perut mules:(,1060304599251218433, , , , , 
@rum4hherbal, 2018-11-08, 05:49, Buah rambutan bermanfaat untuk mengencangkan otot  obat sakit perut  dan obat cacingan #HidupSehat,1060303176627191809, , , , , 
@kaisooisme, 2018-11-08, 05:47, Setiap pagi bangun tidur itu lngsung mual sakit perut. Nah pan antara maag sama mules tuh beda tipis sksksk,1060302638598635520, , , , , 
@rosiemunk, 2018-11-08, 05:46, aku sakit perut,1060302528170999808, , , , , 
@iamaqlh, 2018-11-08, 05:46, Pedas ayam smalam smpai skarang sakit perut ,1060302526581399554, , , , , 
@missiqaa_, 2018-11-08, 05:44, Aku rasa aku sakit perut sebab makan tobokki tu. Berbunyi bunyi perut aku. Haraplah harini okay je. Jenuhla kalau nak kena g toilet je hmm,1060301879597363200, , , , , 
