username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@mumtaaaza, 2018-10-08, 06:57, diapet,1049086263540645888, , , , , 
@erlanggaof, 2018-10-08, 06:55, Udah pake sepatu  udah manasin motor  eh mules . Sering banget begini apakah ini sebuah passionku?,1049085774115692544, , , , , 
@ikonmyluvf, 2018-10-08, 06:54, diapet,1049085693333393408, , , , , 
@aizatsharkfin, 2018-10-08, 06:46, Salah timing pula sakit perut...,1049083544369168384, , , , , 
@8tyed, 2018-10-08, 06:45, sakit perut takleh bawak bincang. terus cancel jogging aku,1049083432381239297, , , , , 
@wanabdmuhaimin, 2018-10-08, 06:45, Awal pagi sakit perut sik cak cita huhu,1049083425385148416, , , , , 
@ralinevanesh, 2018-10-08, 06:45, Gils sakit perut dari semalam ko gak ilang2 TAT,1049083344816758784, , , , , 
@zulhafizaz, 2018-10-08, 06:44, Tengah-tengah jammed ni sakit perut memang tak boleh brain.,1049083145490812928, , , , , 
@gamilaarief, 2018-10-08, 06:44, Lalu  jika manusia memutuskan untuk mandi  apakah ia akan menjadi dinamit demek? Dan  jika berenang  dinamit ngambang? Kemudian  akankah ia ambyar ketika diare? #JustAsking,1049083141430771712, , , , , 
@kenziemchance, 2018-10-08, 06:44, Sakit perut,1049082998438547456, , , , , 
@putrieinka, 2018-10-08, 06:43, Mengawali pagi dengan diare karena kebanyakan makan pepaya. Nice.,1049082841009549312, , , , , 
@evaniastwn, 2018-10-08, 06:42, uda bangun pagi siap ngantor cepet eh tiba2 sakit perut  uda bangun pagi siap ngantor cepet eh kunci pagar gtw taroh dimana  uda bangun pagi siap ngantor cepet kelamaan drama dikaca gabisa dikasih dateng cepet emang.,1049082636692377600, , , , , 
@silvenqueer, 2018-10-08, 06:42, setelah 3 hari lebih diare hari ini eekku padet :'),1049082632229638144, , , , , 
@bangjikan, 2018-10-08, 06:41, Kalo gak nyinyir mules ya pak,1049082325458288640, , , , , 
@syiffanifani, 2018-10-08, 06:40, MULES BGT ANJANGGGG,1049081970095869952, , , , , 
@hayyachi5, 2018-10-08, 06:39, Uda beberapa hari ini  masuk angin dan diare tak henti2 ,1049081884662063104, , , , , 
@nrletika, 2018-10-08, 06:38, Pagi isnin hadap sakit perut :’),1049081682324639744, , , , , 
@giskayol, 2018-10-08, 06:37, Problematika giska di pagi hari  gak sarapan sakit perut  pas sarapan sakit perut juga ,1049081356704133120, , , , , 
@neomuhane, 2018-10-08, 06:35, mampus w pagi2 baca begituan langsung mules,1049080838371958784, , , , , 
@AlfaPratama_27, 2018-10-08, 06:35, Mana sakit perut pulaaaaa,1049080720289804294, , , , , 
@DMDOYOUNG96, 2018-10-08, 06:35, saya mau stalk mantan mau liat kabarnya blm ke loud username nya udah mules pengen pup hdh,1049080691823005696, , , , , 
@syaeikaismail, 2018-10-08, 06:34," Dont know how to react when ur teammate text u. ""Kak iqa kite EL sakit perut hari tu datang balik"" sedangkan kau tahu ada sorg kawan kau lagi AL. Team lead dah pesan. Tamau tinggal 2 orang ja buat report. Tapiiiii. Aishhhhhh. Nak marah tapi ni permulaan minggu. Aishhhh",1049080524382253056, , , , , 
@Takhtasenja, 2018-10-08, 06:34, Sakit perut. . . . Kebanyakan minum susu.,1049080521936986112, , , , , 
@thicrack, 2018-10-08, 06:34, aku...sakit...perut....,1049080498448871430, , , , , 
@nrnazirahsri, 2018-10-08, 06:29, sakit perut time gini tak kelakar,1049079356847345664, , , , , 
@ateqahmad, 2018-10-08, 06:27, Isuk2 sarapan politik. Kenyang engga  mules iya ,1049078742708932608, , , , , 
@ujjujjukwan, 2018-10-08, 06:24, selamat pagi dr aku yg baru bikin kopi  baru mau nyeruput minum udah mules duluan,1049078059234553856, , , , , 
@yayangtrifatmah, 2018-10-08, 06:21, Berkat diare  aku bisa skip hari senin :),1049077380722044929, , , , , 
@shuvhuaa, 2018-10-08, 06:21, aku ga mules ges yauda ekseno aja ya,1049077363873476610, , , , , 
@nrl_hani, 2018-10-08, 06:21, Harap sakit perut yang ni tak macam semalam.,1049077331128537089, , , , , 
@wakgemblong, 2018-10-08, 06:19, Sejak sakit perut makan sambal dua minggu lepas  sambal apa jenis pun aku makan pasti sakit perut. Now berat dah turun 6 kg. Sedih  tapi gembira! Hahaha ,1049076679195291648, , , , , 
@farhantaylor, 2018-10-08, 06:18, wah cb gini mcm favorite  baru keluar rumah dah sakit perut nak terberak urrgghhhh,1049076461926154240, , , , , 
@idelweish, 2018-10-08, 06:13, astaga mk jam 8 dan gw sakit perut bat:(,1049075296178061312, , , , , 
@djunhwan, 2018-10-08, 06:12, Mau uk kok bawaannya mules,1049074916186681345, , , , , 
@setanlicious, 2018-10-08, 06:10, Rasa malas bangun pagi selalu bisa dikalahkan oleh rasa mules...,1049074559603728385, , , , , 
@mas_syarif1, 2018-10-08, 06:10, Sakit perut di wc perih perih enak gabungan lambung dan bool menciptakan desahan manja.,1049074540259635202, , , , , 
@Yoland_Cend, 2018-10-08, 06:06, Mules yang dikombinasikan dengan ketidakadaannya waktu alias buru-buru dapat menghilangkan kantuk.,1049073417272549376, , , , , 
@putrabayue, 2018-10-08, 06:03, Selalu diulang i lagi.....  Garai mules,1049072710343643137, , , , , 
@Eltadke, 2018-10-08, 05:59, Dr semalem sakit perut gegara samyang. Dan dr siang gaperna makan nasi. Terima dh akibatnya,1049071626052984832, , , , , 
@harutosenpai, 2018-10-08, 05:57, demi ah lur sakit perut,1049071159214366720, , , , , 
@laptamy, 2018-10-08, 05:55," Ya Allah bener banget itu combo-nya emang parah sih Sakit perut sakit pinggang  emosi labil kayak abg  terus jerawat pada muncul semua huhu ingin mengeluh tapi harus kuwat :"")",1049070801150914560, , , , , 
@Bbaekhyx, 2018-10-08, 05:54, Yah kan itu dh jelas:v  Ntar gua mules   ogah.. gk bisa sarapan,1049070444362362880, , , , , 
@rizkiheru, 2018-10-08, 05:53, Siapa yg suka mules di pagi hari? *Saya,1049070332689018880, , , , , 
@Bbaekhyx, 2018-10-08, 05:52, Mksd gua. Kalo gua sarapan  gua mules dekk,1049069885421056000, , , , , 
@kartikamegasr, 2018-10-08, 05:51, Terimakasih Ya Allah  memberikanku mules di pagi hari. Mungkin tanpa mules aku tidak eek di senin yg sibuk ini,1049069655355092992, a771f9fca653fc61, Sedayu, Sedayu Indonesia, 110.26086322445161, -7.8246629
@Bbaekhyx, 2018-10-08, 05:50, Ntar gua mules.. ogah::v gk bisa sarapan,1049069583984807936, , , , , 
@WahyuSuharton15, 2018-10-08, 05:50, Tiap pagi.....pasti mules mules,1049069552087183360, , , , , 
@iamanda_jean, 2018-10-08, 05:49, Kebanyakan minum kafeine jd mules,1049069337657597952, , , , , 
@SK_TenLee, 2018-10-08, 05:48, Abis vlive selesai langsung sakit perut,1049068922341736448, , , , , 
@adindaarhmdn, 2018-10-08, 05:41, Uts hari pertama perut w mules terus ni bagaimana,1049067150646730752, , , , , 
@mastoned_, 2018-10-08, 05:40, bad moment ketika udeh rapih dan siap buat berangkat  eh malah mules,1049066983356940288, , , , , 
@qutertawa, 2018-10-08, 05:39, Ini kalo gue curhat lagi  gue mules  dan pup berlebih bakal diomelin lagi. Asyem,1049066640296431617, , , , , 
@putriirahmah_, 2018-10-08, 05:39, Mau tidur lagi tapi mules,1049066614119755776, , , , , 
@putri_ke_dua, 2018-10-08, 05:38, Wes ah.  Wetengku mules.  Baibai,1049066419084648448, , , , , 
@AWChuz, 2018-10-08, 05:35, Tak haus kekuasaan. Hanya ngebet banget. Ngebetnya bisa diibaratkan  orang yg kebelet berak  mules  tapi harus ngantri dulu. Tidak haus tapi ngebet.,1049065801020370944, , , , , 
@amyou16, 2018-10-08, 05:33, disambut pagi   karena mules  trimakasihh  #muless,1049065104874991616, , , , , 
@isavailable1, 2018-10-08, 05:31, Kek perut mules tapi nggak jadi boker :(,1049064744223617025, , , , , 
@vickypersaput, 2018-10-08, 05:28, Mandi udah  sisiran udah  sarapan udah  tinggal nunggu mules nya nih..,1049063905954131968, , , , , 
@llolach, 2018-10-08, 05:22, Kendala berangkat kepagian. Udah bangga” rapih lebih awal  eh mules ,1049062371400941568, , , , , 
@CikNadyya, 2018-10-08, 05:19, Sejak on eat clean ni selalu sgt lupa makan. Pastu awal pg sakit perut ,1049061782302511104, 848dbe1c5606169e, Galas, Galas Kelantan, 101.94853904779907, 4.82952785
@nandayouleany, 2018-10-08, 05:18, Grrrrr sakit perut,1049061391217262595, , , , , 
@nslwasalim_, 2018-10-08, 05:17, pepegi dah sakit perut pulak.,1049061262615703552, , , , , 
@AliaEzzti, 2018-10-08, 05:12, sakit perut ,1049059861659410432, , , , , 
@rocbse, 2018-10-08, 05:03, Di cebok makanya abs diare biar ga panas,1049057693107798016, , , , , 
@amiyyoi99, 2018-10-08, 04:56, Sakit perut ,1049055793276903424, , , , , 
@sitiathirah92, 2018-10-08, 04:54, Tak boleh bawak bincang sakit perut ni. Huuu ^^,1049055502745972737, , , , , 
@MerahBiru_, 2018-10-08, 04:53, Sakit perut...,1049055242468216832, , , , , 
@aggus_ramura, 2018-10-08, 04:53, Rasa MALAS Ingin bangun pagi Slalu kalah dengan rasa MULES,1049055099534934017, , , , , 
@shee_amir, 2018-10-08, 04:52, wah melihat ini   semua cebong langsung sakit perut  mual mual  krn geger otakk https://www.facebook.com/1584954614/posts/10211867917525078/ …,1049054973080698880, , , , , 
@AzaleaZahin, 2018-10-08, 04:34, Mules gw liat mukanya afi nusron  eh....,1049050285169991681, , , , , 
@asmarina0109, 2018-10-08, 04:33, Efek minum kopi versi saya: melek sampe pagi  mules dan pup,1049050078327918592, , , , , 
@riandyadditya, 2018-10-08, 04:27, Kebangun  mules  ke toilet. Sampai toilet mules nya ilang  malah ngantuk  Ada ada saja,1049048547272744960, , , , , 
@angelldendekker, 2018-10-08, 04:23, Diare sepanjang perjalanan balik :(,1049047631303860224, , , , , 
