username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@slsdlzllee, 2018-09-08, 06:59, Cried to sleep last night sakit perut sangat. Bila bangun pagini rasa susah nak gerak. , 1038215162623193090, , , , , 
@ellguma, 2018-09-08, 06:58, yoyoyo wadab wadidab mules gua, 1038214943764443136, , , , , 
@stickdrumdowun, 2018-09-08, 06:58, itu kopi apa susu coklat? ga mules minum gituan pagi-pagi?, 1038214905516572672, , , , , 
@descmber, 2018-09-08, 06:57, Sakit perut trs loh, 1038214680253104128, 9d2b82bb721f82a3, Tanjung Karang Pusat, Tanjung Karang Pusat Indonesia, 105.23864082615316, -5.41285415
@isbejoIC, 2018-09-08, 06:55, Aku ngakak nonton videonya  gemesh campur geli tapi kuulang2 terus sampe sakit perut dan rahangku, 1038214317282217984, , , , , 
@martabaok, 2018-09-08, 06:54, Eh gak  yang paling kampret ini nih. Udah buru-buru mau berangkat  taunya mules. Dilema antara berangkat aja apa peepo dulu : ), 1038213847276904448, , , , , 
@ftnhzqa, 2018-09-08, 06:53, Sakit perut ni ganggu betul la., 1038213788606951424, , , , , 
@kuramakiddo, 2018-09-08, 06:51, Sakit perut gara2 kebanyakan makan, 1038213076279906304, , , , , 
@jundiwarrior, 2018-09-08, 06:47, Hahaha... Tapi kenpa kalau ada tulisan 2019 pada langsung mules.. ??!   Hidup erick thohir..   #2019GantiPresiden, 1038212237746262016, , , , , 
@dodotzzzzz, 2018-09-08, 06:37, ya allah perutku  padahal pagi-pagi cuma icip tempe goreng doang selang 10 menit bocooooooor dah mules terooos.., 1038209652113035264, , , , , 
@dkmgn, 2018-09-08, 06:35, aduh mules  ee dulu ah..., 1038209247144640513, , , , , 
@littxepony, 2018-09-08, 06:32, Tapi aku takut sakit perut?/  Aku lebih suka km sih?/, 1038208321323331584, , , , , 
@MimiieOLALA, 2018-09-08, 06:30, Bangun pagi sakit perut cuci muka berus  gigi; hujan plus sejokk, 1038207855914934272, , , , , 
@Ditasyaf, 2018-09-08, 06:30, Selamat pagi buat kalian yg kalo lagi ngiket sepatu tiba2 mules, 1038207834318462977, 8215c88b61dc3566, Pasar Kemis, Pasar Kemis Indonesia, 106.5250893170158, -6.1692395
@arfibdw, 2018-09-08, 06:22, Spicy chicken mcd emang bener bener paling bisa bikin perut w mules berkali” , 1038205993136447489, , , , , 
@ARE_JIM96, 2018-09-08, 06:22, Jgn di sebbkan org yg kow knl baru sebulan...kow nk gaduh n bermasam muka dgn org yg kow knl bertahun-tahun.... nanti yg baru knl buat hal..... ap reaksi org yg lame dh kenal kow???  1.perlu ketawa sampai sakit perut 2.sedih  #AyatCopyJer, 1038205934680473603, , , , , 
@cupubersahadja, 2018-09-08, 06:21, Mules sia aku teh. Bolak balik wc. :(, 1038205700101439488, , , , , 
@suhailakasban, 2018-09-08, 06:18, Ingatkan sakit perut jam 3 pagi dah berakhir. Sambung shift 7 pagi pulak yee , 1038204920539709440, , , , , 
@mikailll45, 2018-09-08, 06:17, Lah gua juga mules mules anjir wkwkwk, 1038204715157217280, , , , , 
@NajihahRazakk, 2018-09-08, 06:17, aduh sakit perut, 1038204688154288128, , , , , 
