username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude,result
@AbdulIkromMukti, 2018-01-01, 17:22, Ntah ini gaya apa. Nahan bersin Nahan mules Muka kane Muka xilau @ Gua Sunyaragi https://www.instagram.com/p/BdZ0FmAnsFQ/ ,9.47775E+17, 2eb44917f4d6dddc, Cirebon Barat, Cirebon Barat Indonesia,108.5391516,-6.7191105,ntah gaya nahan bersin nahan mules muka kane muka xilau gua sunyaragi
@nengnurlaela21, 2018-01-01, 18:36, get well soon Kak Dori   masih di Sukabumi kak? aku tadi niatnya pengen samperin Kaka pengen ketemu tapi ku mendadak sakit perut bolak balik ke air sampe lemes :(,9.47794E+17, 8b2c9342507e86d3, Baros, Baros Indonesia,106.9287058,-6.946683,get well soon kak dor sukabumi kak niat ken samperin kaka ken ketemu ku dadak sakit perut bolak air sampe lemes
@_sulistiyowati_, 2018-01-01, 19:57, Awalnya pening doang berhari-hari. Terus demam. Diare. Lemes. Terkapar.  -_____-,9.47814E+17, dc83e4ea9c950d75, Labuhan Maringgai, Labuhan Maringgai Indonesia,105.8118064,-5.342388,pening doang hari demam diare lemes kapar
@rundraj, 2018-01-01, 13:39, Sing seneng akeh  sing mules merga mburi ngomah kelepan yo ono. @ Keloran  Kasihan  Bantul https://www.instagram.com/p/BdZXaL6FyCY/ ,9.47719E+17, c4397d8c10325af5, Kasihan, Kasihan Indonesia,110.3336193,-7.814739,sing neng akeh sing mules merga mburi ngomah kelep yo ono kelor kasihan bantul
@fitryfee3, 2018-01-01, 11:55, Maag kumat sejak kemarin  hasilnya diare. Mules. Plus my period is coming!   Susah bedain mulesnya ,9.47693E+17, 420f122b6bea262c, Lemahabang, Lemahabang Indonesia,107.184287,-6.2976855,maag kumat kemarin hasil diare mules plus my period is coming susah bedain mulesnya
@fennyst_, 2018-01-01, 17:10, Guamah jauh dr kata hedon. Minum kopi setengah gelas aja perut lgsg mules,9.47772E+17, e2cf09a47038ba13, Kertosono, Kertosono Indonesia,112.0884525,-7.603001,guamah dr hedon minum kopi gelas aja perut lgsg mules
@PuteriMulyadi, 2018-01-01, 21:55, 2hari ini mencoba menormalkan porsi makan.. ternyata perut masih BELOM SANGGUP ditandai dgn sakit perut (lagi..) #recovery,9.47844E+17, 0e960886390aa80d, Kramat Jati, Kramat Jati Indonesia,106.8705935,-6.275768,coba normal porsi makan perut bom sanggup tanda dgn sakit perut recovery
@_sulistiyowati_, 2018-01-01, 21:55, Iyaa Tri  demam sama diare ,9.47844E+17, dc83e4ea9c950d75, Labuhan Maringgai, Labuhan Maringgai Indonesia,105.8118064,-5.342388,iyaa tri demam diare
@rhmdhina, 2018-01-01, 22:21, Oralit kak...  ,9.4785E+17, aee1f647eb659021, Ngemplak, Ngemplak Indonesia,110.4751175,-7.711567,oralit kak
@annisamaghfira, 2018-01-02, 13:40, akujugak. tapi langsung mules,9.48082E+17, 408ad88ee0345f7d, Depok, Depok Indonesia,110.4082427,-7.76769565,akujugak langsung mules
