username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@HasfiqIkqmal, 2018-12-13, 08:14, Sakit perut , 1073023350555926529, , , , , 
@nadenaayy, 2018-12-13, 08:13, Gue mules   tp cape nongkrong. Hm, 1073023071588474880, , , , , 
@overbakedbeans, 2018-12-13, 08:13, yang pasti aku sakit perut sampai ni aku terus naik gi toilet, 1073022967808815104, , , , , 
@Sf_Aprianty, 2018-12-13, 08:12, Kenapa kebiasaan banget tiap abis sarapan pagi pasti langsung mules:(( sayang capek ngunyah , 1073022807842246656, b944c273d48123b9, Cipeundeuy, Cipeundeuy Indonesia, 107.59861450517272, -6.5250035
@FyraIsmail91, 2018-12-13, 08:12, Haihh sakit perut. , 1073022799185272832, , , , , 
@chira__, 2018-12-13, 08:12, Nahan sakit perut di transjak adalah ujian  selamat pagi , 1073022748543279104, , , , , 
@nugrohoald, 2018-12-13, 08:10, Kenapa pagi itu sering mules, 1073022351510392832, , , , , 
@aumylorcan, 2018-12-13, 08:08, Kalo setiap sarapan terus tiba tiba sakit perut itu tandanya kenapa ya? Mohon pencerahannya guru , 1073021931782193153, , , , , 
@ONajihah, 2018-12-13, 08:08, Sakit perut pagi pagi mmg aku paling benci, 1073021830162612224, , , , , 
@Yalpacaa, 2018-12-13, 08:08, masuk office je akak ni cakap "ha tido lambat lah tu semalam " "sakit perut la kak.." "ah kau"  trick aku depa tak makan dah le ni hahshsjsjaksk, 1073021773220724736, 90a313fb8155ca55, Sungai Tiram, Sungai Tiram Johor, 103.96234146808035, 1.5516711
@dxyxng, 2018-12-13, 08:08, Sakit perut la pundek. Memang tiap bulan ke nak rasa period pain ni. Fuck stress la aku, 1073021734654103552, , , , , 
@orange_wawa, 2018-12-13, 08:07, apasai.. sakit perut ni , 1073021570682040320, , , , , 
@hiqmahtambidzi, 2018-12-13, 08:07, Nak demam + sakit perut., 1073021526822113280, , , , , 
@miminajihah_, 2018-12-13, 08:07, Makan banyak sikit  sakit perut  kalau tak makan pun sakit perut. Aku pun takpaham dengan diri sendiri. , 1073021485621506048, , , , , 
@dewiayuan, 2018-12-13, 08:07, Kzl adalah ketika udh rapi dan siap untuk berangkat. Tbtb sakit perut, 1073021470924656641, , , , , 
@andwanabdul, 2018-12-13, 08:05, Time tok juak sakit perut, 1073021138215657473, c9250e46aa4bac0b, Kuching, Kuching Sarawak, 110.29488514389706, 1.42922965
@emyyainaa, 2018-12-13, 08:05, tak kelakar aku dah la lambat nak jumpa doctor lepastu sakit perut pulak , 1073021066795073536, , , , , 
@saltyzq, 2018-12-13, 08:05, Ugh mkn dc selalu bgi aku sakit perut , 1073020944405286912, , , , , 
@tiyoung89, 2018-12-13, 08:04, Cuyaaaaanngg kangen diriku padamu wkwk mules beb sakit kepala, 1073020833545650176, , , , , 
@mrndalstr, 2018-12-13, 08:04, Awkarin beli ramen  pagi ini mules men, 1073020764415127552, 0b07849d325660cd, Sukolilo, Sukolilo Indonesia, 112.80783998385029, -7.288131
@rishainlalaland, 2018-12-13, 08:02, Hiburan pagi yaAllah sakit perut nahan ketawa , 1073020343722303489, , , , , 
@jangandilepas, 2018-12-13, 08:01, bangun langsung mules  alhamdulillah ga perlu nungguin sambil bengong ngopi dulu kek biasanya setiap hari., 1073019938414112768, , , , , 
@tiyoung89, 2018-12-13, 08:00, MULES SUMPAH PAGI2 LIAT ADA YG GITUIN ANAK KESAYANGAN AING AARRGHHHHH!!!!!, 1073019681856835584, , , , , 
@aingcau, 2018-12-13, 07:59, Dua hari berturut2 sarapan tolak angin mulu saya. Sembuh kagak  mules iya., 1073019617730162688, , , , , 
@vsilentletter, 2018-12-13, 07:59, HAHAHAAHHAHAHAHA sakit perut aku tengok kau carut ni, 1073019522863382528, ca21458ace493f77, Kubang Pasu, Kubang Pasu Kedah, 100.39262093822046, 6.36414205
@cincinpilu, 2018-12-13, 07:59, Habis sarapan saya malah sakit perut., 1073019515007524864, , , , , 
@poetricohr, 2018-12-13, 07:59, I'm not.   Belum  sakit perut kalo sarapan hehe., 1073019508271398912, , , , , 
@seokngjnx, 2018-12-13, 07:58, Penyakit tiap pagi : mules, 1073019404131037189, , , , , 
@FSMuzdalifah, 2018-12-13, 07:56, nahan mules itu butuh perjuangan, 1073018760175378433, , , , , 
@eyrararaaaa, 2018-12-13, 07:56, Aduhh time gini la dia nak sakit perut pulak, 1073018738339864577, fd09cb221dcc3002, Putrajaya, Putrajaya Wilayah Persekutuan Putrajaya, 101.70093159423287, 2.9312904
@askmenfess, 2018-12-13, 07:55, [askmf] gais gue sakit perut mau boker  mk gue hari ini smpe sore. Wc di kampus gue bau naudzubillah kyk ga dibersihin sebulan:( doain gue kuat nahannya sampe pulang:'), 1073018467870097408, , , , , 
@Beduuuurrr, 2018-12-13, 07:54, Kalo minum teh anget  pasti mules dit, 1073018273933848576, , , , , 
@lattaecaramel_, 2018-12-13, 07:53, Me;  Pagi: sakit perut  hidung berair  sakit tekak  baju tak gosok lagi  tak mandi lagi.  Sebelum ambil result: it's okay dearself  you did well.  Lepas ambil result: ha orang suruh study engko usya crush kat Korea tu! Padan muka engko! , 1073018137426112512, , , , , 
@stupiditySilent, 2018-12-13, 07:53, *moro kok wetengku mules  Iki tak lereni opo piye timbang iki wonge tak jak mlebu jeding terus krungu *plung-plung*.   : Begini saja pak  saya langsung ke polrestabes saja. Mohon maaf ini dengan bapak siapa?  : HEY ANJING KAU BERANI KAU DATANG KEMARI SAYA HABISI ANAK ANDA, 1073018098335150081, , , , , 
@nalaliisa_m, 2018-12-13, 07:53, ORANG KAYA KENA DIARE, 1073018037970755584, , , , , 
@pikarshd, 2018-12-13, 07:53, Tulah melantak tomyam campur pukul 12 malam lagi dah sakit perut , 1073017974854840320, , , , , 
@slashwirez, 2018-12-13, 07:51, Haha i feel you. Kemana2 bareng2 itu ngabisin energi.  Kalo lg butuh my space biasanya gw ke toilet. Sehari bisa 3-5x ke toilet.  Suka ditanya knp sering ke toilet lama2. Gw bilang gw gampang mules jadi pgn eek mulu.  Padahal gw ditoilet cuma duduk doang. Recharge., 1073017533588860928, , , , , 
@KORANBASI, 2018-12-13, 07:51, tidak kuat menahan rasa mules di angkutan umum  wanita hamil ini berhenti di toilet umum., 1073017442593497088, , , , , 
@noegroho_edy, 2018-12-13, 07:50, Mendung(sedikit rintik)  Atis-atis  Masuk Siang  Tidur lagi syahdu kali yaaa.... . . Tapi sayang  kenapa mules datang ketika cuaca mendukung seperti ini? Coba pengertian dikit (misale) , 1073017167040339968, , , , , 
@sakuduatiga, 2018-12-13, 07:49, Aku langsung mules. , 1073016940677935104, , , , , 
