username,date,time,text,tweetID,placeID,daerah,lokasi,longitude,latitude
@aimishahh, 2018-12-08, 06:59, Pagi pagi dah sakit perut. Nervous ke apa ni? Padahal aku berucap esok kot , 1071192523048050688, , , , , 
@ordinarymyday, 2018-12-08, 06:57, aku mual aku mules aaaaak, 1071191922192990208, , , , , 
@upillambe, 2018-12-08, 06:57, Lemah  suaramu menjelma mules berkepanjangan, 1071191896544792577, , , , , 
@lovesbassist, 2018-12-08, 06:53, gw mules mulu sih pdhl udah.. wkwkwk :(, 1071191102240120832, , , , , 
@najisoo_, 2018-12-08, 06:52, Gak lah  yg ada mules mules , 1071190844877660160, , , , , 
@deboragracia_, 2018-12-08, 06:51, sedih kadang kalo masuk angin gini perut melilit tapiii banyakan bahagianya habisssss .... diare sih   ~ aku yang selalu merasa kurusan setelah diare, 1071190529184980993, , , , , 
@mayaatrsmra, 2018-12-08, 06:51, Mau pup tapi gabisa pup cuma mules tapi mules nya 20x lipat bisa sampe guling2 pengen nangis. Nah itu tuh sumilangeun , 1071190467792973825, 8834c34f036f23cf, Cicurug, Cicurug Indonesia, 106.80413373452072, -6.7581415
@berryaro1, 2018-12-08, 06:47, Mules gw bacanyaaa... Wkwkwkww, 1071189603908911105, , , , , 
@annisarfitri, 2018-12-08, 06:46, anamnesis pasien sambil nahan mules. deg2an. keringet dingin. berasa lagi osce , 1071189334496145409, , , , , 
@gantesng, 2018-12-08, 06:45, pagi pagi udah mules, 1071189001246101504, , , , , 
@indriyani_tya, 2018-12-08, 06:43, Perut gue mules bgt, 1071188605215752193, , , , , 
@moh_effendie, 2018-12-08, 06:43, Asem  sakit perut gua , 1071188408368717825, , , , , 
@icedtehmanis, 2018-12-08, 06:42, mules nya sekarang padahal tampil masih jam 12 huhuhuu, 1071188225480286208, , , , , 
@aintnodrum, 2018-12-08, 06:41, ngantok tapi mules gabisa tidur lagi, 1071188083419230208, , , , , 
@ciscuzz, 2018-12-08, 06:41, Penyakit yg lagi tren di 2018 “sakit perut”, 1071188042902204417, , , , , 
@pilightful, 2018-12-08, 06:41, bahu w sakit perut sakit  nice, 1071187871476797440, , , , , 
@StevanyD, 2018-12-08, 06:40, Niatnya pengen tau thai tea ini rasanya kek gimana  alhasil mules gegara susunya bukan susu yang biasanya diminum. Mosok kalo aku pengen thai tea harus bawa sendiri susu dancow sachetan , 1071187826195128320, , , , , 
@milaastuti1996, 2018-12-08, 06:38, Kebiasaan banget  setiap mau rekapan laporan perut mendadak mules  pas otw kamar kecil auto biasa aja. Syndrome ato apa  gajelas :[, 1071187308907352064, d4fc5a08c871ac18, Pemenang, Pemenang Indonesia, 116.09068189370117, -8.4157895
@gukyoungguk, 2018-12-08, 06:38, Uuuuuh mules lgsg yaa, 1071187245317509120, , , , , 
@Inijaehyuk, 2018-12-08, 06:37, Masih mules, 1071187039431745536, , , , , 
@orangeflavor97, 2018-12-08, 06:36, Abis itu diare, 1071186843457138688, , , , , 
@ilysungjinssi, 2018-12-08, 06:36, AKU GUGUP DEG2AN SAKIT PERUT UDAH KAYAK MAU AMBIL NILAI RENANG JDNSNSNSN @ day6 TANGGUNG JAWAB KAMU, 1071186823949377536, , , , , 
@Sis_Lysaa, 2018-12-08, 06:35, Sakit perut yang tak boleh bawak bincang!! , 1071186421564628992, , , , , 
@tjsiwgeu, 2018-12-08, 06:33, belum nih  sakit perut kalo sarapan jam segini kalo kamu udah?, 1071185858592555008, , , , , 
@chickbunny_me, 2018-12-08, 06:32, Masih pagi  jadi mules saya., 1071185826330042368, , , , , 
@dhikaaz, 2018-12-08, 06:31, Mengapa diare ini datang di saat tidak tepat? , 1071185341992787969, , , , , 
@KM_KSohyun99, 2018-12-08, 06:30, EONNI NGEREP AKU LANGSUNG SAKIT PERUT SUMPAAAH , 1071185166272409600, , , , , 
@girlswac, 2018-12-08, 06:30, JAEHYUN KATANYA DIARE KALO SAMA VOZA :(, 1071185121779245056, , , , , 
